"date","item","price","florida","provider","year","month","week","year_month","year_week"
2014-09-03,"GRAPES",189,"Florida","direct",2014,9,35,"2014-9","2014-35"
2014-10-03,"PERSIMMONS",251,"Florida","direct",2014,10,39,"2014-10","2014-39"
2014-10-27,"APPLES",87.6,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"APPLES",146,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"APPLES",298.5,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"APPLES",173.1,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"ASPARAGUS",185.7,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"BANANAS",259.35,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"BANANAS",20.4,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"BROCCOLI",138.67,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CABBAGE",30.9,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CABBAGE",14.16,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CABBAGE",15.46,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CABBAGE",7.7,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CARROT",25.05,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CARROTS",32.75,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"CUCUMBER",28.28,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"EGGS",21.7,"Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"EGGS",40.45,"Florida","distributor",2014,10,43,"2014-10","2014-43"
2014-10-27,"ENDIVE",129.75,"Non-Florida","distributor",2014,10,43,"2014-10","2014-43"
